"Open","High","Low","Close","Volume","Adjusted","Date","Emiten"
NA,NA,NA,NA,NA,NA,"2016-04-14","MIKA"
NA,NA,NA,NA,NA,NA,"2016-04-15","MIKA"
NA,NA,NA,NA,NA,NA,"2016-04-18","MIKA"
2455,2455,2455,2455,0,2311.540527,"2016-04-19","MIKA"
2525,2525,2470,2510,12491600,2363.326904,"2016-04-20","MIKA"
2510,2570,2500,2510,10408800,2363.326904,"2016-04-21","MIKA"
2510,2540,2485,2510,7556400,2363.326904,"2016-04-22","MIKA"
2510,2530,2470,2515,8111700,2368.034424,"2016-04-25","MIKA"
2515,2535,2500,2530,10352900,2382.158203,"2016-04-26","MIKA"
2530,2635,2525,2605,16006200,2452.775391,"2016-04-27","MIKA"
2610,2700,2580,2655,10546200,2499.853271,"2016-04-28","MIKA"
2655,2690,2625,2655,9457800,2499.853271,"2016-04-29","MIKA"
2655,2690,2530,2560,8592300,2410.405029,"2016-05-02","MIKA"
2560,2600,2530,2600,9056600,2448.067627,"2016-05-03","MIKA"
2590,2590,2490,2530,17398400,2382.158203,"2016-05-04","MIKA"
2530,2530,2430,2500,17535200,2353.911133,"2016-05-09","MIKA"
2500,2500,2460,2480,9832700,2335.079834,"2016-05-10","MIKA"
2470,2500,2450,2470,10953500,2325.664063,"2016-05-11","MIKA"
2480,2560,2480,2520,8212600,2372.742432,"2016-05-12","MIKA"
2520,2610,2520,2600,11417300,2448.067627,"2016-05-13","MIKA"
2620,2620,2540,2550,7962100,2400.989502,"2016-05-16","MIKA"
2570,2650,2550,2580,7216400,2429.236328,"2016-05-17","MIKA"
2570,2600,2490,2550,8462100,2400.989502,"2016-05-18","MIKA"
2550,2800,2490,2800,7019900,2636.380615,"2016-05-19","MIKA"
2680,2680,2560,2560,6127000,2410.405029,"2016-05-20","MIKA"
2560,2600,2550,2600,7454000,2448.067627,"2016-05-23","MIKA"
2600,2610,2560,2590,7876800,2438.651855,"2016-05-24","MIKA"
2610,2610,2550,2580,7815200,2429.236328,"2016-05-25","MIKA"
2580,2610,2570,2590,7407400,2438.651855,"2016-05-26","MIKA"
2600,2610,2570,2570,6282200,2419.820557,"2016-05-27","MIKA"
2560,2600,2530,2580,8350500,2429.236328,"2016-05-30","MIKA"
2590,2630,2350,2350,7627700,2212.676514,"2016-05-31","MIKA"
2460,2620,2460,2580,8424600,2429.236328,"2016-06-01","MIKA"
2590,2610,2580,2580,6632900,2429.236328,"2016-06-02","MIKA"
2610,2680,2580,2630,5558800,2476.314697,"2016-06-03","MIKA"
2650,2650,2550,2560,5520900,2433.537598,"2016-06-06","MIKA"
2560,2620,2560,2600,6776800,2471.561279,"2016-06-07","MIKA"
2620,2620,2580,2600,8935100,2471.561279,"2016-06-08","MIKA"
2570,2700,2570,2630,7363900,2500.079346,"2016-06-09","MIKA"
2640,2680,2570,2600,5063000,2471.561279,"2016-06-10","MIKA"
2600,2620,2500,2590,4356400,2462.055176,"2016-06-13","MIKA"
2590,2630,2590,2610,5131800,2481.067383,"2016-06-14","MIKA"
2610,2630,2570,2600,4807500,2471.561279,"2016-06-15","MIKA"
2600,2620,2550,2580,4294400,2452.549316,"2016-06-16","MIKA"
2580,2620,2550,2560,5968900,2433.537598,"2016-06-17","MIKA"
2590,2620,2580,2600,5172600,2471.561279,"2016-06-20","MIKA"
2610,2640,2570,2570,4577400,2443.043457,"2016-06-21","MIKA"
2610,2650,2600,2600,7198100,2471.561279,"2016-06-22","MIKA"
2600,2680,2600,2620,8987300,2490.573486,"2016-06-23","MIKA"
2600,2640,2500,2610,5863500,2481.067383,"2016-06-24","MIKA"
2610,2720,2610,2700,10194100,2566.621582,"2016-06-27","MIKA"
2710,2800,2700,2800,7537900,2661.681641,"2016-06-28","MIKA"
2800,2800,2720,2760,5685000,2623.657471,"2016-06-29","MIKA"
2760,2810,2720,2750,8598200,2614.151611,"2016-06-30","MIKA"
2750,2760,2680,2690,9196700,2557.115479,"2016-07-01","MIKA"
2700,2810,2680,2760,9950500,2623.657471,"2016-07-11","MIKA"
2780,2790,2640,2640,5797700,2509.585449,"2016-07-12","MIKA"
2630,2700,2580,2630,7657000,2500.079346,"2016-07-13","MIKA"
2630,2650,2540,2540,8830800,2414.525391,"2016-07-14","MIKA"
2540,2620,2540,2600,6455900,2471.561279,"2016-07-15","MIKA"
2620,2650,2600,2600,3823600,2471.561279,"2016-07-18","MIKA"
2600,2620,2540,2540,5697200,2414.525391,"2016-07-19","MIKA"
2570,2600,2530,2580,12557500,2452.549316,"2016-07-20","MIKA"
2550,2600,2540,2540,3320200,2414.525391,"2016-07-21","MIKA"
2550,2590,2520,2540,5543700,2414.525391,"2016-07-22","MIKA"
2590,2650,2570,2600,3951500,2471.561279,"2016-07-25","MIKA"
2600,2630,2570,2580,2991000,2452.549316,"2016-07-26","MIKA"
2580,2610,2560,2600,12411700,2471.561279,"2016-07-27","MIKA"
2600,2660,2600,2630,3309500,2500.079346,"2016-07-28","MIKA"
2630,2650,2540,2540,4074300,2414.525391,"2016-07-29","MIKA"
2540,2690,2520,2680,8928800,2547.609375,"2016-08-01","MIKA"
2700,2760,2660,2750,5389000,2614.151611,"2016-08-02","MIKA"
2740,2750,2690,2720,2609800,2585.633545,"2016-08-03","MIKA"
2680,2710,2660,2680,4124600,2547.609375,"2016-08-04","MIKA"
2580,2740,2580,2720,4326200,2585.633545,"2016-08-05","MIKA"
2680,2780,2650,2750,6385600,2614.151611,"2016-08-08","MIKA"
2740,2740,2680,2700,9170400,2566.621582,"2016-08-09","MIKA"
2710,2720,2680,2680,3542400,2547.609375,"2016-08-10","MIKA"
2680,2690,2670,2680,7595500,2547.609375,"2016-08-11","MIKA"
2690,2690,2650,2670,6221600,2538.103516,"2016-08-12","MIKA"
2670,2670,2560,2590,7833300,2462.055176,"2016-08-15","MIKA"
2590,2630,2550,2630,7261700,2500.079346,"2016-08-16","MIKA"
2610,2630,2570,2580,6215000,2452.549316,"2016-08-18","MIKA"
2580,2650,2570,2630,5509100,2500.079346,"2016-08-19","MIKA"
2660,2660,2580,2610,9486300,2481.067383,"2016-08-22","MIKA"
2620,2730,2550,2730,8750000,2595.139648,"2016-08-23","MIKA"
2700,2700,2620,2640,5583400,2509.585449,"2016-08-24","MIKA"
2650,2700,2640,2700,6682100,2566.621582,"2016-08-25","MIKA"
2690,2720,2650,2690,4983200,2557.115479,"2016-08-26","MIKA"
2680,2690,2650,2690,4681200,2557.115479,"2016-08-29","MIKA"
2690,2770,2690,2750,8537800,2614.151611,"2016-08-30","MIKA"
2750,2850,2670,2800,11890000,2661.681641,"2016-08-31","MIKA"
2800,2870,2770,2860,6960400,2718.717529,"2016-09-01","MIKA"
2860,2950,2860,2950,6707500,2804.271729,"2016-09-02","MIKA"
2950,2980,2820,2820,5281300,2680.693604,"2016-09-05","MIKA"
2820,2880,2770,2800,8066300,2661.681641,"2016-09-06","MIKA"
2840,2900,2840,2890,6282600,2747.235596,"2016-09-07","MIKA"
2900,2900,2840,2870,5667100,2728.223633,"2016-09-08","MIKA"
2850,2850,2710,2750,7227000,2614.151611,"2016-09-09","MIKA"
2740,2800,2680,2800,4689000,2661.681641,"2016-09-13","MIKA"
2800,2800,2690,2700,5665500,2566.621582,"2016-09-14","MIKA"
2710,2800,2710,2800,5470200,2661.681641,"2016-09-15","MIKA"
2800,2830,2770,2810,4305900,2671.1875,"2016-09-16","MIKA"
2810,2850,2810,2840,6772700,2699.705566,"2016-09-19","MIKA"
2840,2950,2830,2900,7378100,2756.741455,"2016-09-20","MIKA"
2920,2960,2850,2890,3854300,2747.235596,"2016-09-21","MIKA"
2890,2960,2820,2820,3650400,2680.693604,"2016-09-22","MIKA"
2730,2820,2700,2730,5840800,2595.139648,"2016-09-23","MIKA"
2730,2790,2730,2740,4603900,2604.645508,"2016-09-26","MIKA"
2740,2760,2710,2760,5867600,2623.657471,"2016-09-27","MIKA"
2770,2790,2740,2790,7386800,2652.175293,"2016-09-28","MIKA"
2790,2850,2790,2850,3657200,2709.21167,"2016-09-29","MIKA"
2850,2860,2730,2790,2788700,2652.175293,"2016-09-30","MIKA"
2790,2820,2770,2790,3071900,2652.175293,"2016-10-03","MIKA"
2790,2840,2750,2750,2207700,2614.151611,"2016-10-04","MIKA"
