"Open","High","Low","Close","Volume","Adjusted","Date","Emiten"
1150,1165,1150,1150,498300,1042.776733,"2014-11-14","INKP"
1150,1165,1130,1130,218900,1024.641479,"2014-11-17","INKP"
1160,1185,1130,1160,1246000,1051.84436,"2014-11-18","INKP"
1165,1185,1160,1165,818900,1056.378174,"2014-11-19","INKP"
1145,1180,1145,1145,302000,1038.24292,"2014-11-20","INKP"
1120,1145,1100,1120,1425500,1015.573792,"2014-11-21","INKP"
1180,1180,1130,1180,1382800,1069.979614,"2014-11-24","INKP"
1190,1190,1150,1190,835500,1079.047119,"2014-11-25","INKP"
1175,1190,1150,1175,126500,1065.445923,"2014-11-26","INKP"
1165,1175,1165,1165,134400,1056.378174,"2014-11-27","INKP"
1175,1175,1150,1175,271800,1065.445923,"2014-11-28","INKP"
1175,1175,1165,1165,95100,1056.378174,"2014-12-01","INKP"
1160,1180,1160,1175,393600,1065.445923,"2014-12-02","INKP"
1170,1170,1155,1155,329000,1047.310547,"2014-12-03","INKP"
1155,1160,1145,1145,461000,1038.24292,"2014-12-04","INKP"
1155,1155,1125,1150,869500,1042.776733,"2014-12-05","INKP"
1160,1160,1100,1140,472800,1033.709106,"2014-12-08","INKP"
1130,1155,1115,1130,351400,1024.641479,"2014-12-09","INKP"
1125,1145,1125,1130,70900,1024.641479,"2014-12-10","INKP"
1125,1130,1095,1115,735300,1011.039978,"2014-12-11","INKP"
1115,1130,1105,1120,305700,1015.573792,"2014-12-12","INKP"
1120,1120,1095,1105,559700,1001.972412,"2014-12-15","INKP"
1100,1110,1080,1080,1580400,979.303467,"2014-12-16","INKP"
1070,1085,1065,1070,1374000,970.235718,"2014-12-17","INKP"
1070,1085,1060,1065,991500,965.701904,"2014-12-18","INKP"
1070,1070,1030,1045,3352800,947.566589,"2014-12-19","INKP"
1050,1050,1040,1050,1069300,952.100342,"2014-12-22","INKP"
1050,1050,1030,1040,379500,943.032837,"2014-12-23","INKP"
1030,1035,1020,1030,467500,933.96521,"2014-12-24","INKP"
1030,1030,1015,1020,1116800,924.897583,"2014-12-29","INKP"
1030,1055,1030,1045,1114000,947.566589,"2014-12-30","INKP"
1030,1105,1030,1100,619000,997.438599,"2015-01-02","INKP"
1100,1115,1080,1100,178400,997.438599,"2015-01-05","INKP"
1095,1100,1070,1070,402100,970.235718,"2015-01-06","INKP"
1070,1090,1040,1050,852800,952.100342,"2015-01-07","INKP"
1055,1070,1035,1045,1333900,947.566589,"2015-01-08","INKP"
1045,1045,1035,1040,1372600,943.032837,"2015-01-09","INKP"
1040,1050,1040,1040,311300,943.032837,"2015-01-12","INKP"
1045,1045,1040,1040,176600,943.032837,"2015-01-13","INKP"
1050,1060,1045,1050,149900,952.100342,"2015-01-14","INKP"
1045,1055,1045,1045,103000,947.566589,"2015-01-15","INKP"
1045,1055,1040,1045,215800,947.566589,"2015-01-16","INKP"
1045,1070,1045,1055,86000,956.634216,"2015-01-19","INKP"
1065,1080,1060,1070,802100,970.235718,"2015-01-20","INKP"
1075,1080,1065,1070,428300,970.235718,"2015-01-21","INKP"
1075,1090,1065,1065,1202400,965.701904,"2015-01-22","INKP"
1075,1080,1075,1080,1429000,979.303467,"2015-01-23","INKP"
1075,1090,1065,1075,489200,974.769592,"2015-01-26","INKP"
1075,1075,1070,1070,287700,970.235718,"2015-01-27","INKP"
1065,1075,1065,1075,327400,974.769592,"2015-01-28","INKP"
1065,1090,1065,1090,497400,988.371033,"2015-01-29","INKP"
1095,1100,1090,1090,294500,988.371033,"2015-01-30","INKP"
1075,1090,1070,1075,48100,974.769592,"2015-02-02","INKP"
1070,1075,1060,1060,306100,961.168152,"2015-02-03","INKP"
1060,1095,1050,1065,1793000,965.701904,"2015-02-04","INKP"
1070,1070,1065,1070,80500,970.235718,"2015-02-05","INKP"
1075,1080,1070,1070,424200,970.235718,"2015-02-06","INKP"
1070,1070,1065,1065,45900,965.701904,"2015-02-09","INKP"
1065,1075,1065,1075,1229100,974.769592,"2015-02-10","INKP"
1055,1075,1030,1070,466700,970.235718,"2015-02-11","INKP"
1050,1080,1045,1045,595500,947.566589,"2015-02-12","INKP"
1070,1080,1045,1080,866100,979.303467,"2015-02-13","INKP"
1085,1085,1050,1050,140400,952.100342,"2015-02-16","INKP"
1075,1075,1050,1055,257400,956.634216,"2015-02-17","INKP"
1060,1085,1050,1070,736000,970.235718,"2015-02-18","INKP"
1070,1080,1060,1075,583800,974.769592,"2015-02-20","INKP"
1075,1095,1065,1095,688800,992.904785,"2015-02-23","INKP"
1095,1095,1065,1065,474300,965.701904,"2015-02-24","INKP"
1065,1080,1050,1070,589100,970.235718,"2015-02-25","INKP"
1065,1070,1020,1025,6025300,929.431396,"2015-02-26","INKP"
1025,1025,930,930,23013800,843.289001,"2015-02-27","INKP"
930,965,930,950,6579600,861.424255,"2015-03-02","INKP"
955,955,930,930,2657100,843.289001,"2015-03-03","INKP"
940,940,915,920,2115100,834.221252,"2015-03-04","INKP"
935,955,915,935,1578500,847.822754,"2015-03-05","INKP"
945,945,925,930,507900,843.289001,"2015-03-06","INKP"
945,945,925,930,734900,843.289001,"2015-03-09","INKP"
940,945,935,940,606800,852.356628,"2015-03-10","INKP"
930,935,920,925,654800,838.755127,"2015-03-11","INKP"
930,930,915,920,1045400,834.221252,"2015-03-12","INKP"
945,945,915,920,216400,834.221252,"2015-03-13","INKP"
940,940,920,920,307700,834.221252,"2015-03-16","INKP"
935,935,925,925,544500,838.755127,"2015-03-17","INKP"
920,930,920,930,287800,843.289001,"2015-03-18","INKP"
930,940,920,925,239600,838.755127,"2015-03-19","INKP"
930,935,925,930,248000,843.289001,"2015-03-20","INKP"
